time_start_s,energy_mean,bit
1.0,257245.62308333334,1
2.0,285489.41558333335,1
3.0,180750.22141666664,0
4.0,203625.67420833334,0
5.0,299725.2712083333,1
6.0,269522.123625,1
7.0,269062.0318333333,1
8.0,260596.34491666668,1
9.0,193901.06645833334,0
10.0,181185.93704166665,0
11.0,193385.80904166665,0
12.0,273035.056625,1
13.0,221501.95020833332,0
14.0,287228.7914583333,1
15.0,191867.58208333334,0
16.0,260306.3752083333,1
17.0,259087.1461666667,1
18.0,221549.48374999998,0
19.0,257298.584875,1
20.0,285362.1595416666,1
21.0,259935.45116666667,1
22.0,193853.09370833336,0
23.0,294164.31433333334,1
24.0,290111.28674999997,1
25.0,301511.6367916667,1
