arsenyfucker@cls:~/Desktop/cyberSec$ taskset -c 4 ./a.out 
transmit_bits: buffer=512 MB, bit duration=1000 ms
Bit 0 = 1 (active)
Bit 1 = 0 (idle)
Bit 2 = 1 (active)
Bit 3 = 1 (active)
Bit 4 = 0 (idle)
Bit 5 = 0 (idle)
Bit 6 = 1 (active)
Bit 7 = 0 (idle)
Bit 8 = 1 (active)
Bit 9 = 1 (active)
Bit 10 = 0 (idle)
Bit 11 = 0 (idle)
Bit 12 = 0 (idle)
Bit 13 = 1 (active)
Bit 14 = 0 (idle)
Bit 15 = 1 (active)
Bit 16 = 0 (idle)
Bit 17 = 1 (active)
Bit 18 = 1 (active)
Bit 19 = 0 (idle)
Bit 20 = 0 (idle)
Bit 21 = 0 (idle)
Bit 22 = 1 (active)
transmit_bits: buffer=512 MB, bit duration=1000 ms
Bit 0 = 1 (active)
Bit 1 = 0 (idle)
Bit 2 = 1 (active)
Bit 3 = 1 (active)
Bit 4 = 0 (idle)
Bit 5 = 0 (idle)
Bit 6 = 1 (active)
Bit 7 = 0 (idle)
Bit 8 = 1 (active)
Bit 9 = 1 (active)
Bit 10 = 0 (idle)
Bit 11 = 0 (idle)
Bit 12 = 0 (idle)
Bit 13 = 1 (active)
Bit 14 = 0 (idle)
Bit 15 = 1 (active)
Bit 16 = 0 (idle)
Bit 17 = 1 (active)
Bit 18 = 1 (active)
Bit 19 = 0 (idle)
Bit 20 = 0 (idle)
Bit 21 = 0 (idle)
Bit 22 = 1 (active)
transmit_bits: buffer=512 MB, bit duration=1000 ms
Bit 0 = 1 (active)
Bit 1 = 0 (idle)
Bit 2 = 1 (active)
Bit 3 = 1 (active)
Bit 4 = 0 (idle)
Bit 5 = 0 (idle)
Bit 6 = 1 (active)
Bit 7 = 0 (idle)
Bit 8 = 1 (active)
Bit 9 = 1 (active)
Bit 10 = 0 (idle)
Bit 11 = 0 (idle)
Bit 12 = 0 (idle)
Bit 13 = 1 (active)
Bit 14 = 0 (idle)
Bit 15 = 1 (active)
Bit 16 = 0 (idle)
Bit 17 = 1 (active)
Bit 18 = 1 (active)
Bit 19 = 0 (idle)
Bit 20 = 0 (idle)
Bit 21 = 0 (idle)
Bit 22 = 1 (active)
transmit_bits: buffer=512 MB, bit duration=1000 ms
Bit 0 = 1 (active)
Bit 1 = 0 (idle)
Bit 2 = 1 (active)
Bit 3 = 1 (active)
Bit 4 = 0 (idle)
Bit 5 = 0 (idle)
Bit 6 = 1 (active)
Bit 7 = 0 (idle)
Bit 8 = 1 (active)
Bit 9 = 1 (active)
Bit 10 = 0 (idle)
Bit 11 = 0 (idle)
Bit 12 = 0 (idle)
Bit 13 = 1 (active)
Bit 14 = 0 (idle)
^C
arsenyfucker@cls:~/Desktop/cyberSec$
